timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2021-12-31T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-31T08:52:00.000Z";"2021-12-31T21:00:00.000Z";"2781";17.8151496979;18.6041417215;16.8545816799;17.0688795648;381251541.49;10706722881.77;627265711.33;"2021-12-31T23:59:59.999Z"
"2021-12-30T00:00:00.000Z";"2021-12-30T23:59:59.999Z";"2021-12-30T22:17:12.000Z";"2021-12-30T00:19:13.000Z";"2781";17.1283132851;17.8770279397;16.7427287021;17.822460125;302579640.43;11179403844.38;627264909.89;"2021-12-30T23:59:59.999Z"
"2021-12-29T00:00:00.000Z";"2021-12-29T23:59:59.999Z";"2021-12-29T01:50:12.000Z";"2021-12-29T23:46:12.000Z";"2781";18.4136359762;19.4485580356;16.9612983004;17.0921014914;556682572.8;10721248008.08;627263301.33;"2021-12-29T23:59:59.999Z"
"2021-12-28T00:00:00.000Z";"2021-12-28T23:59:59.999Z";"2021-12-28T01:28:11.000Z";"2021-12-28T14:40:14.000Z";"2781";19.1185425469;19.9322036272;17.8058026454;18.4527098346;609752157.79;11597858987.17;628517929.95;"2021-12-28T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2021-12-27T23:59:59.999Z";"2021-12-27T17:11:11.000Z";"2021-12-27T00:43:12.000Z";"2781";18.6596760313;20.0709688586;18.5636492744;19.0684741812;421879969.94;11984839782.7;628515929.95;"2021-12-27T23:59:59.999Z"
"2021-12-26T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-26T22:35:11.000Z";"2021-12-26T05:53:11.000Z";"2781";17.4641088731;18.7857735794;16.7315490882;18.6879767554;328730369.71;11745630155.55;628512669.36;"2021-12-26T23:59:59.999Z"
"2021-12-25T00:00:00.000Z";"2021-12-25T23:59:59.999Z";"2021-12-25T01:01:12.000Z";"2021-12-25T17:27:31.000Z";"2781";17.4997593231;17.8523947689;17.1048792043;17.4725376242;211599997.9;10981647023.7;628508992.79;"2021-12-25T23:59:59.999Z"
"2021-12-24T00:00:00.000Z";"2021-12-24T23:59:59.999Z";"2021-12-24T19:12:28.000Z";"2021-12-24T23:14:11.000Z";"2781";18.1658523681;18.2665500287;17.2851167474;17.4818705009;339462880.2;10978424715.92;627989133.96;"2021-12-24T23:59:59.999Z"
"2021-12-23T00:00:00.000Z";"2021-12-23T23:59:59.999Z";"2021-12-23T23:49:22.000Z";"2021-12-23T00:25:16.000Z";"2781";16.2262559249;18.2435367278;15.9504860781;18.1258151341;487135545.76;11382525758.55;627973179.38;"2021-12-23T23:59:59.999Z"
"2021-12-22T00:00:00.000Z";"2021-12-22T23:59:59.999Z";"2021-12-22T23:47:12.000Z";"2021-12-22T00:58:19.000Z";"2781";15.0765840473;16.4110912138;14.9836849581;16.2280108086;264426175.94;10190736041.92;627971977.72;"2021-12-22T23:59:59.999Z"
"2021-12-21T00:00:00.000Z";"2021-12-21T23:59:59.999Z";"2021-12-21T23:50:11.000Z";"2021-12-21T01:25:12.000Z";"2781";14.4856111898;15.0935866772;14.3289846814;15.0748876178;146489733.24;9466594928.92;627971177.56;"2021-12-21T23:59:59.999Z"
"2021-12-20T00:00:00.000Z";"2021-12-20T23:59:59.999Z";"2021-12-20T01:14:11.000Z";"2021-12-20T14:26:11.000Z";"2781";14.9608364871;15.157783908;13.9692186745;14.4849819964;218636090.84;9096110455.91;627968364.63;"2021-12-20T23:59:59.999Z"
"2021-12-19T00:00:00.000Z";"2021-12-19T23:59:59.999Z";"2021-12-19T03:36:25.000Z";"2021-12-19T20:07:12.000Z";"2781";15.5843202252;15.9712927306;14.8579032443;14.955979226;194450338.5;9391851785.42;627966356.7;"2021-12-19T23:59:59.999Z"
"2021-12-18T00:00:00.000Z";"2021-12-18T23:59:59.999Z";"2021-12-18T22:29:12.000Z";"2021-12-18T02:07:13.000Z";"2781";15.0055131895;16.1076642084;14.7003482556;15.5772385119;313275175.65;9781911883.95;627961873.76;"2021-12-18T23:59:59.999Z"
"2021-12-17T00:00:00.000Z";"2021-12-17T23:59:59.999Z";"2021-12-17T23:46:13.000Z";"2021-12-17T14:45:23.000Z";"2781";14.4145194343;15.0910773239;13.7160821119;15.006362781;212120158.88;9423393620.01;627959869.92;"2021-12-17T23:59:59.999Z"
"2021-12-16T00:00:00.000Z";"2021-12-16T23:59:59.999Z";"2021-12-16T00:23:12.000Z";"2021-12-16T23:44:12.000Z";"2781";15.1894041095;15.3819571711;14.3623995941;14.4215122549;195180101.68;9055797663.17;627936758.86;"2021-12-16T23:59:59.999Z"
"2021-12-15T00:00:00.000Z";"2021-12-15T23:59:59.999Z";"2021-12-15T21:29:11.000Z";"2021-12-15T16:01:12.000Z";"2781";14.9963542794;15.4721636967;14.1980196929;15.1802982836;223391375.09;9532267302.68;627936758.86;"2021-12-15T23:59:59.999Z"
"2021-12-14T00:00:00.000Z";"2021-12-14T23:59:59.999Z";"2021-12-14T23:57:19.000Z";"2021-12-14T06:30:25.000Z";"2781";14.1568965121;15.0107837789;13.9480383431;14.9794079525;190824633.93;9406120879.32;627936758.86;"2021-12-14T23:59:59.999Z"
"2021-12-13T00:00:00.000Z";"2021-12-13T23:59:59.999Z";"2021-12-13T00:17:11.000Z";"2021-12-13T19:43:11.000Z";"2781";16.0348852313;16.0915057061;13.7908380541;14.1481391199;236854841.01;8884136622.83;627936758.86;"2021-12-13T23:59:59.999Z"
"2021-12-12T00:00:00.000Z";"2021-12-12T23:59:59.999Z";"2021-12-12T23:20:12.000Z";"2021-12-12T10:14:12.000Z";"2781";15.8821986832;16.1952092279;15.2805211739;16.0179367285;142510812.13;10058251272.85;627936758.86;"2021-12-12T23:59:59.999Z"
"2021-12-11T00:00:00.000Z";"2021-12-11T23:59:59.999Z";"2021-12-11T10:58:11.000Z";"2021-12-11T00:19:09.000Z";"2781";15.1807734977;16.7100681929;15.0029815227;15.8855488005;274377992.14;9975120026.48;627936758.86;"2021-12-11T23:59:59.999Z"
"2021-12-10T00:00:00.000Z";"2021-12-10T23:59:59.999Z";"2021-12-10T00:36:19.000Z";"2021-12-10T23:56:10.000Z";"2781";16.2025800206;16.5391770038;15.1327076113;15.1737031089;267594940.9;9528125950.06;627936758.86;"2021-12-10T23:59:59.999Z"
"2021-12-09T00:00:00.000Z";"2021-12-09T23:59:59.999Z";"2021-12-09T00:12:18.000Z";"2021-12-09T20:46:11.000Z";"2781";18.6662976034;18.7643985909;16.1329080242;16.206681693;265115285.59;10176771174.16;627936758.86;"2021-12-09T23:59:59.999Z"
"2021-12-08T00:00:00.000Z";"2021-12-08T23:59:59.999Z";"2021-12-08T23:51:23.000Z";"2021-12-08T00:08:09.000Z";"2781";17.1995332306;18.6927665915;16.9986999387;18.6664512262;396616050.96;11721261283.4;627931958.86;"2021-12-08T23:59:59.999Z"
