timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2017-12-31T00:00:00.000Z";"2017-12-31T23:59:59.999Z";"2017-12-31T23:44:14.000Z";"2017-12-31T09:49:15.000Z";"2781";0.5588089824;0.6135380268;0.5245159864;0.6015520096;9962080;210543200;350000000;"2017-12-31T23:59:59.999Z"
"2017-12-30T00:00:00.000Z";"2017-12-30T23:59:59.999Z";"2017-12-30T23:59:14.000Z";"2017-12-30T16:49:14.000Z";"2781";0.488003999;0.5861279964;0.4333330095;0.5861279964;9126190;205144800;350000000;"2017-12-30T23:59:59.999Z"
"2017-12-29T00:00:00.000Z";"2017-12-29T23:59:59.999Z";"2017-12-29T02:49:14.000Z";"2017-12-29T11:29:14.000Z";"2781";0.5081610084;0.5184469819;0.4611600041;0.4863480031;5757530;170221800;350000000;"2017-12-29T23:59:59.999Z"
"2017-12-28T00:00:00.000Z";"2017-12-28T23:59:59.999Z";"2017-12-28T00:34:14.000Z";"2017-12-28T17:04:14.000Z";"2781";0.5027819872;0.5136370063;0.4365069866;0.5066969991;5458410;177343950;350000000;"2017-12-28T23:59:59.999Z"
"2017-12-27T00:00:00.000Z";"2017-12-27T23:59:59.999Z";"2017-12-27T20:09:15.000Z";"2017-12-27T04:39:14.000Z";"2781";0.5157099962;0.5306689739;0.4605360031;0.5055009723;6065390;176925350;350000000;"2017-12-27T23:59:59.999Z"
"2017-12-26T00:00:00.000Z";"2017-12-26T23:59:59.999Z";"2017-12-26T04:24:14.000Z";"2017-12-26T15:44:14.000Z";"2781";0.5062890053;0.5496370196;0.4359540045;0.5214210153;10452900;182497350;350000000;"2017-12-26T23:59:59.999Z"
"2017-12-25T00:00:00.000Z";"2017-12-25T23:59:59.999Z";"2017-12-25T02:19:14.000Z";"2017-12-25T17:49:15.000Z";"2781";0.5493370295;0.5845419765;0.4889900088;0.5019329786;7740550;175676550;350000000;"2017-12-25T23:59:59.999Z"
"2017-12-24T00:00:00.000Z";"2017-12-24T23:59:59.999Z";"2017-12-24T00:09:45.000Z";"2017-12-24T03:04:32.000Z";"2781";0.5845620036;0.6043739915;0.4438300133;0.5441619754;15183200;190456700;350000000;"2017-12-24T23:59:59.999Z"
"2017-12-23T00:00:00.000Z";"2017-12-23T23:59:59.999Z";"2017-12-23T22:09:46.000Z";"2017-12-23T00:04:32.000Z";"2781";0.4392719865;0.7233859897;0.4392719865;0.5776799917;24055000;202188000;350000000;"2017-12-23T23:59:59.999Z"
"2017-12-22T00:00:00.000Z";"2017-12-22T23:59:59.999Z";"2017-12-22T01:34:35.000Z";"2017-12-22T14:29:48.000Z";"2781";0.4276480079;0.4563310146;0.2836090028;0.4268780053;14979800;149407300;350000000;"2017-12-22T23:59:59.999Z"
"2017-12-21T00:00:00.000Z";"2017-12-21T23:59:59.999Z";"2017-12-21T20:14:38.000Z";"2017-12-21T01:44:31.000Z";"2781";0.3785620034;0.4664340019;0.3688110113;0.4242869914;12030600;148500450;350000000;"2017-12-21T23:59:59.999Z"
"2017-12-20T00:00:00.000Z";"2017-12-20T23:59:59.999Z";"2017-12-20T00:04:32.000Z";"2017-12-20T16:19:46.000Z";"2781";0.4387289882;0.4387289882;0.3527559936;0.3727959991;10481200;130478600;350000000;"2017-12-20T23:59:59.999Z"
"2017-12-19T00:00:00.000Z";"2017-12-19T23:59:59.999Z";"2017-12-19T03:35:08.000Z";"2017-12-19T11:19:50.000Z";"2781";0.4310750067;0.5086029768;0.4151279926;0.4393559992;13254800;153774600;350000000;"2017-12-19T23:59:59.999Z"
"2017-12-18T00:00:00.000Z";"2017-12-18T23:59:59.999Z";"2017-12-18T23:59:53.000Z";"2017-12-18T05:09:42.000Z";"2781";0.4182690084;0.4349069893;0.3627830148;0.4349069893;18220400;152217450;350000000;"2017-12-18T23:59:59.999Z"
"2017-12-17T00:00:00.000Z";"2017-12-17T23:59:59.999Z";"2017-12-17T22:24:50.000Z";"2017-12-17T00:14:56.000Z";"2781";0.341847986;0.4444209933;0.3399060071;0.4175960124;20035600;146158600;350000000;"2017-12-17T23:59:59.999Z"
