timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2020-12-31T00:00:00.000Z";"2020-12-31T23:59:59.999Z";"2020-12-31T10:34:08.000Z";"2020-12-31T01:31:08.000Z";"2781";11.25091969;11.72236768;10.99901675;11.27053796;1206737629.94;4491417082.601994;398509556.43;"2020-12-31T23:59:59.999Z"
"2020-12-30T00:00:00.000Z";"2020-12-30T23:59:59.999Z";"2020-12-30T00:59:08.000Z";"2020-12-30T18:46:08.000Z";"2781";11.76786143;11.92601323;11.0971948;11.25357548;1497541827.89;4484657372.881695;398509556.43;"2020-12-30T23:59:59.999Z"
"2020-12-29T00:00:00.000Z";"2020-12-29T23:59:59.999Z";"2020-12-29T00:11:08.000Z";"2020-12-29T16:13:08.000Z";"2781";12.62472378;12.97528753;10.83759996;11.77112461;2021247540.17;4690905646.081937;398509556.43;"2020-12-29T23:59:59.999Z"
"2020-12-28T00:00:00.000Z";"2020-12-28T23:59:59.999Z";"2020-12-28T22:28:08.000Z";"2020-12-28T05:02:08.000Z";"2781";12.14949935;12.89169009;12.03706895;12.62838055;1696784036.84;5032530332.768195;398509556.43;"2020-12-28T23:59:59.999Z"
"2020-12-27T00:00:00.000Z";"2020-12-27T23:59:59.999Z";"2020-12-27T16:11:08.000Z";"2020-12-27T00:25:10.000Z";"2781";10.96334688;13.04156572;10.24376711;12.12970835;2199716490.96;4833804693.479254;398509556.43;"2020-12-27T23:59:59.999Z"
"2020-12-26T00:00:00.000Z";"2020-12-26T23:59:59.999Z";"2020-12-26T04:27:14.000Z";"2020-12-26T22:52:09.000Z";"2781";11.54847769;11.77630276;10.67841985;10.96487443;1419511858.38;4369607245.700155;398509556.43;"2020-12-26T23:59:59.999Z"
"2020-12-25T00:00:00.000Z";"2020-12-25T23:59:59.999Z";"2020-12-25T16:31:13.000Z";"2020-12-25T06:16:09.000Z";"2781";11.57080419;11.86294171;11.07766621;11.54668492;1400082282.39;4601464285.264972;398509556.43;"2020-12-25T23:59:59.999Z"
"2020-12-24T00:00:00.000Z";"2020-12-24T23:59:59.999Z";"2020-12-24T23:10:16.000Z";"2020-12-24T07:04:09.000Z";"2781";10.87059852;11.66371045;9.96683516;11.57545407;1894113775.09;4601353612.083028;397509556.43;"2020-12-24T23:59:59.999Z"
"2020-12-23T00:00:00.000Z";"2020-12-23T23:59:59.999Z";"2020-12-23T00:17:09.000Z";"2020-12-23T22:25:16.000Z";"2781";12.79127529;12.84870574;8.50915351;10.8313119;1924391287.84;4305549989.357124;397509556.43;"2020-12-23T23:59:59.999Z"
"2020-12-22T00:00:00.000Z";"2020-12-22T23:59:59.999Z";"2020-12-22T23:55:16.000Z";"2020-12-22T08:30:16.000Z";"2781";12.3367811;12.81467857;11.85658995;12.79393324;1298374630.76;5085710726.176921;397509556.43;"2020-12-22T23:59:59.999Z"
"2020-12-21T00:00:00.000Z";"2020-12-21T23:59:59.999Z";"2020-12-21T05:07:09.000Z";"2020-12-21T16:13:09.000Z";"2781";13.07201848;13.25178076;12.16659859;12.34199503;1245762389.74;4906060968.979536;397509556.43;"2020-12-21T23:59:59.999Z"
"2020-12-20T00:00:00.000Z";"2020-12-20T23:59:59.999Z";"2020-12-20T09:43:09.000Z";"2020-12-20T22:04:09.000Z";"2781";13.49128935;13.73792519;12.80001843;13.07007395;1142006159.64;5195479300.219723;397509556.43;"2020-12-20T23:59:59.999Z"
"2020-12-19T00:00:00.000Z";"2020-12-19T23:59:59.999Z";"2020-12-19T12:53:09.000Z";"2020-12-19T01:31:09.000Z";"2781";13.50944822;13.96501349;13.32241211;13.4921871;1149858505.82;5363273311.14349;397509556.43;"2020-12-19T23:59:59.999Z"
"2020-12-18T00:00:00.000Z";"2020-12-18T23:59:59.999Z";"2020-12-18T10:01:09.000Z";"2020-12-18T00:22:09.000Z";"2781";13.46793147;13.98642278;13.21612959;13.51119276;1304911674.52;5370828242.3154125;397509556.43;"2020-12-18T23:59:59.999Z"
"2020-12-17T00:00:00.000Z";"2020-12-17T23:59:59.999Z";"2020-12-17T16:12:13.000Z";"2020-12-17T09:43:09.000Z";"2781";13.45359007;14.440537;13.1744346;13.46713281;1827482310.83;5339846855.884739;396509556.43;"2020-12-17T23:59:59.999Z"
"2020-12-16T00:00:00.000Z";"2020-12-16T23:59:59.999Z";"2020-12-16T22:25:16.000Z";"2020-12-16T01:47:09.000Z";"2781";12.70360211;13.46257438;12.35372457;13.45108729;1223226479.14;5333484654.398145;396509556.43;"2020-12-16T23:59:59.999Z"
