timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2018-12-31T00:00:00.000Z";"2018-12-31T23:59:59.999Z";"2018-12-31T00:45:13.000Z";"2018-12-31T21:38:12.000Z";"2781";0.043231772;0.0433639683;0.0404929837;0.0410629422;19280456.75;1064641797.76087;25927070538;"2018-12-31T23:59:59.999Z"
"2018-12-30T00:00:00.000Z";"2018-12-30T23:59:59.999Z";"2018-12-30T13:28:06.000Z";"2018-12-30T00:19:11.000Z";"2781";0.0415969485;0.0436649347;0.0408416504;0.0432797244;27767173.87;1122116467.72364;25927070538;"2018-12-30T23:59:59.999Z"
"2018-12-29T00:00:00.000Z";"2018-12-29T23:59:59.999Z";"2018-12-29T15:30:08.000Z";"2018-12-29T10:58:09.000Z";"2781";0.0418730039;0.0439402337;0.0412096717;0.0415084813;30992034.03;1076193321.70365;25927070538;"2018-12-29T23:59:59.999Z"
"2018-12-28T00:00:00.000Z";"2018-12-28T23:59:59.999Z";"2018-12-28T21:46:09.000Z";"2018-12-28T02:05:08.000Z";"2781";0.0370165117;0.0426341526;0.0365005052;0.0418616005;26948332.52;1085348669.6997;25927070538;"2018-12-28T23:59:59.999Z"
"2018-12-27T00:00:00.000Z";"2018-12-27T23:59:59.999Z";"2018-12-27T01:08:12.000Z";"2018-12-27T23:31:11.000Z";"2781";0.0412247126;0.0416902938;0.0365476516;0.0369440799;22969394.67;957851765.085455;25927070538;"2018-12-27T23:59:59.999Z"
"2018-12-26T00:00:00.000Z";"2018-12-26T23:59:59.999Z";"2018-12-26T02:44:15.000Z";"2018-12-26T15:03:17.000Z";"2781";0.0416033737;0.0430352676;0.0390763558;0.0411984275;27218408.91;1068154537.07353;25927070538;"2018-12-26T23:59:59.999Z"
"2018-12-25T00:00:00.000Z";"2018-12-25T23:59:59.999Z";"2018-12-25T00:03:16.000Z";"2018-12-25T15:52:14.000Z";"2781";0.0456747503;0.0456747503;0.0392426611;0.0415112443;38493643.55;1076264960.11815;25927070538;"2018-12-25T23:59:59.999Z"
"2018-12-24T00:00:00.000Z";"2018-12-24T23:59:59.999Z";"2018-12-24T15:02:11.000Z";"2018-12-24T00:02:13.000Z";"2781";0.0442855932;0.0492823212;0.0442855932;0.0457164105;57936797.51;1185292600.21324;25927070538;"2018-12-24T23:59:59.999Z"
"2018-12-23T00:00:00.000Z";"2018-12-23T23:59:59.999Z";"2018-12-23T23:05:13.000Z";"2018-12-23T15:20:12.000Z";"2781";0.0422033834;0.0448547092;0.0418192775;0.0442302884;40656189.78;1146761807.24473;25927070538;"2018-12-23T23:59:59.999Z"
"2018-12-22T00:00:00.000Z";"2018-12-22T23:59:59.999Z";"2018-12-22T23:54:11.000Z";"2018-12-22T05:45:14.000Z";"2781";0.0406582542;0.0421559881;0.0386126045;0.0420090497;31227245.98;1089171594.3266;25927070538;"2018-12-22T23:59:59.999Z"
